Distance_m,RSSI_dBm,Timestamp,RSSI_filtered
0.7,-59,1770628834.48062,-58.97560921981199
0.7,-59,1770628834.48079,-58.976189967434536
0.7,-59,1770628834.48088,-58.97674370400492
0.7,-59,1770628834.48096,-58.97727227118062
0.7,-59,1770628834.48105,-58.97777734691667
0.7,-59,1770628834.48114,-58.978260463259375
0.7,-59,1770628834.48123,-58.978723021868454
0.7,-59,1770628834.48131,-58.97916630759895
0.7,-59,1770628834.48139,-58.97959150042005
0.7,-59,1770628834.48148,-58.97999968590363
0.7,-59,1770628834.48156,-58.98039186447889
0.7,-59,1770628834.48165,-58.98076895961911
0.7,-59,1770628834.48184,-58.98113182510165
0.7,-59,1770628834.48194,-58.98148125146123
0.7,-59,1770628834.48203,-58.98181797173928
0.7,-59,1770628834.48217,-58.982142666617236
0.7,-59,1770628834.48226,-58.982455969009514
0.7,-59,1770628834.48235,-58.982758468181366
0.7,-59,1770628834.48244,-58.98305071344793
0.7,-59,1770628834.48252,-58.983333217503414
0.7,-59,1770628834.48261,-58.9836064594228
0.7,-59,1770628834.48269,-58.98387088737307
0.7,-59,1770628834.48278,-58.98412692106622
0.7,-59,1770628834.48286,-58.98437495398229
0.7,-59,1770628834.48295,-58.984615355387206
0.7,-59,1770628834.48303,-58.984848472167194
0.7,-59,1770628834.48312,-58.985074630498886
0.7,-59,1770628834.4832,-58.98529413737209
0.7,-59,1770628834.48329,-58.985507281980134
0.7,-59,1770628834.48338,-58.985714336991045
0.7,-59,1770628834.48348,-58.98591555971129
0.7,-59,1770628834.48356,-58.98611119315256
0.7,-58,1770628834.48364,-58.972601668287915
0.7,-59,1770628834.48378,-58.97297194850468
0.7,-59,1770628834.48384,-58.973332355042984
0.7,-59,1770628834.48391,-58.97368327765266
0.7,-59,1770628834.48397,-58.97402508583683
0.7,-59,1770628834.48404,-58.97435813014975
0.7,-59,1770628834.48411,-58.97468274339615
0.7,-59,1770628834.48417,-58.974999241740534
0.7,-59,1770628834.48423,-58.975307925734356
0.7,-59,1770628834.4843,-58.97560908126807
0.7,-59,1770628834.48436,-58.97590298045427
0.7,-59,1770628834.48443,-58.976189882447855
0.7,-59,1770628834.48449,-58.9764700342082
0.7,-59,1770628834.48455,-58.97674367120821
0.7,-59,1770628834.48461,-58.97701101809448
0.7,-59,1770628834.48468,-58.9772722893024
0.7,-59,1770628834.48474,-58.97752768962983
0.7,-59,1770628834.4848,-58.97777741477252
0.7,-59,1770628834.48487,-58.97802165182421
0.7,-58,1770628834.48493,-58.96738952073539
0.7,-59,1770628834.48499,-58.96774022031692
0.7,-58,1770628834.48506,-58.95744363314032
0.7,-58,1770628834.48514,-58.94736380015257
0.7,-59,1770628834.48524,-58.94791217609973
0.7,-59,1770628834.4853,-58.94844924619969
0.7,-58,1770628834.48537,-58.938769679407926
0.7,-60,1770628834.48543,-58.94949088875688
0.7,-61,1770628834.48555,-58.96999932085892
0.7,-64,1770628834.48564,-59.019809588439294
0.7,-67,1770628834.48572,-59.0980600216246
0.7,-67,1770628834.48579,-59.174791161128844
0.7,-65,1770628834.48586,-59.23081266957826
0.7,-66,1770628834.48592,-59.29529272148027
0.7,-67,1770628834.48598,-59.36799197365904
0.7,-68,1770628834.48605,-59.448680030803786
0.7,-67,1770628834.48611,-59.518612983855746
0.7,-63,1770628834.48617,-59.55055851559854
0.7,-63,1770628834.48624,-59.58192327709359
0.7,-64,1770628834.4863,-59.6217337888027
0.7,-64,1770628834.48636,-59.66083347159673
0.7,-63,1770628834.48642,-59.69038979083946
0.7,-63,1770628834.48649,-59.71942763338509
0.7,-63,1770628834.48655,-59.74796052469772
0.7,-63,1770628834.48662,-59.776001523846624
0.7,-63,1770628834.48668,-59.80356324343765
0.7,-63,1770628834.48674,-59.83065786853112
0.7,-63,1770628834.48681,-59.85729717460591
0.7,-62,1770628834.4869,-59.875157244892975
0.7,-62,1770628834.48697,-59.89272214281589
0.7,-62,1770628834.48703,-59.90999912670384
0.7,-62,1770628834.48709,-59.92699521884301
0.7,-62,1770628834.48715,-59.943717214994464
0.7,-63,1770628834.48722,-59.968173743844595
0.7,-63,1770628834.48728,-59.99224212431311
0.7,-62,1770628834.48734,-60.00805542553856
0.7,-62,1770628834.4874,-60.0236216770963
0.7,-63,1770628834.48748,-60.046700679832064
0.7,-63,1770628834.48754,-60.06942467014594
0.7,-62,1770628834.48768,-60.08416603922153
0.7,-61,1770628834.48775,-60.091106160678166
0.7,-61,1770628834.48782,-60.09794193453039
0.7,-61,1770628834.48788,-60.10467569691631
0.7,-61,1770628834.48795,-60.11130971475518
0.7,-61,1770628834.48801,-60.11784618829223
0.7,-60,1770628834.48807,-60.1169857317857
0.7,-60,1770628834.48813,-60.11613774371749
0.7,-61,1770628834.4882,-60.12249848477662
0.7,-61,1770628834.48826,-60.128768372699575
0.7,-61,1770628834.48833,-60.13494934052997
0.7,-60,1770628834.48839,-60.13399867789489
0.7,-60,1770628834.48845,-60.13306130901273
0.7,-60,1770628834.48852,-60.13213695693057
0.7,-60,1770628834.48858,-60.13122535233556
0.7,-60,1770628834.48864,-60.130326233293275
0.7,-60,1770628834.48871,-60.12943934499675
0.7,-60,1770628834.48877,-60.12856443952569
0.7,-60,1770628834.48883,-60.12770127561538
0.7,-60,1770628834.48889,-60.12684961843482
0.7,-60,1770628834.48897,-60.12600923937369
0.7,-60,1770628834.48903,-60.12517991583773
0.7,-60,1770628834.4891,-60.12436143105213
0.7,-60,1770628834.48916,-60.123553573872606
0.7,-60,1770628834.48924,-60.122756138603734
0.7,-60,1770628834.52519,-60.12196892482434
0.7,-60,1770628834.62762,-60.121191737219505
0.7,-60,1770628834.72529,-60.12042438541901
0.7,-60,1770628834.82539,-60.1196666838418
0.7,-60,1770628834.92592,-60.11891845154635
0.7,-60,1770628835.02504,-60.11817951208658
0.7,-60,1770628835.1253,-60.11744969337308
0.7,-60,1770628835.22586,-60.11672882753952
0.7,-60,1770628835.32459,-60.116016750813834
0.7,-60,1770628835.42499,-60.11531330339422
0.7,-60,1770628835.52558,-60.11461832932948
0.7,-60,1770628835.62506,-60.11393167640381
0.7,-60,1770628835.72627,-60.11325319602557
0.7,-60,1770628835.82435,-60.11258274312007
0.7,-60,1770628835.92576,-60.11192017602617
0.7,-60,1770628836.02518,-60.1112653563964
0.7,-60,1770628836.12489,-60.11061814910071
0.7,-60,1770628836.22481,-60.10997842213341
0.7,-60,1770628836.32524,-60.109346046523434
0.7,-60,1770628836.42551,-60.10872089624763
0.7,-60,1770628836.52669,-60.108102848147006
0.7,-60,1770628836.62673,-60.10749178184581
0.7,-60,1770628836.72601,-60.10688757967336
0.7,-60,1770628836.82695,-60.10629012658851
0.7,-60,1770628836.92714,-60.10569931010656
0.7,-60,1770628837.02698,-60.10511502022866
0.7,-60,1770628837.12721,-60.10453714937353
0.7,-60,1770628837.22623,-60.10396559231137
0.7,-60,1770628837.32811,-60.103400246099994
0.7,-60,1770628837.42787,-60.102841010023
0.7,-60,1770628837.527,-60.10228778552992
0.7,-60,1770628837.62764,-60.10174047617831
0.7,-60,1770628837.73238,-60.1011989875777
0.7,-60,1770628837.82803,-60.10066322733531
0.7,-60,1770628837.92848,-60.10013310500345
0.7,-60,1770628838.02718,-60.09960853202863
0.7,-60,1770628838.12706,-60.09908942170223
0.7,-60,1770628838.22793,-60.09857568911269
0.7,-60,1770628838.32678,-60.09806725109921
0.7,-60,1770628838.42804,-60.09756402620684
0.7,-60,1770628838.52707,-60.097065934642984
0.7,-60,1770628838.62682,-60.096572898235195
0.7,-60,1770628838.72717,-60.096084840390276
0.7,-60,1770628838.82787,-60.09560168605458
0.7,-60,1770628838.92758,-60.09512336167553
0.7,-60,1770628839.02843,-60.0946497951643
0.7,-60,1770628839.12911,-60.094180915859546
0.7,-60,1770628839.22721,-60.09371665449227
0.7,-60,1770628839.32997,-60.09325694315169
0.7,-60,1770628839.42796,-60.09280171525211
0.7,-60,1770628839.52827,-60.092350905500766
0.7,-60,1770628839.62783,-60.09190444986658
0.7,-60,1770628839.72884,-60.09146228554985
0.7,-60,1770628839.82896,-60.09102435095277
0.7,-60,1770628839.92914,-60.09059058565084
0.7,-60,1770628840.02867,-60.09016093036502
0.7,-60,1770628840.12822,-60.08973532693478
0.7,-60,1770628840.22824,-60.08931371829178
0.7,-60,1770628840.32866,-60.08889604843438
0.7,-60,1770628840.42915,-60.088482262402835
0.7,-60,1770628840.54023,-60.08807230625518
0.7,-60,1770628840.62829,-60.087666127043754
0.7,-60,1770628840.72853,-60.08726367279243
0.7,-60,1770628840.82893,-60.08686489247441
0.7,-60,1770628840.92786,-60.08646973599064
0.7,-60,1770628841.0288,-60.08607815414886
0.7,-60,1770628841.12852,-60.08569009864314
0.7,-60,1770628841.22881,-60.08530552203404
0.7,-60,1770628841.3275,-60.08492437772924
0.7,-60,1770628841.42884,-60.08454661996472
0.7,-60,1770628841.53005,-60.08417220378646
0.7,-60,1770628841.63044,-60.08380108503257
0.7,-60,1770628841.73002,-60.08343322031593
0.7,-60,1770628841.82996,-60.08306856700728
0.7,-60,1770628841.9296,-60.082707083218736
0.7,-60,1770628842.03069,-60.08234872778774
0.7,-60,1770628842.12933,-60.08199346026144
0.7,-60,1770628842.22986,-60.08164124088144
0.7,-60,1770628842.33113,-60.081292030568996
0.7,-61,1770628842.43079,-60.08520499880652
0.7,-60,1770628842.53105,-60.084843627914395
0.7,-60,1770628842.63039,-60.084485305158076
0.7,-60,1770628842.73096,-60.08412999211572
0.7,-60,1770628842.83078,-60.08377765100854
0.7,-60,1770628842.93067,-60.083428244687376
0.7,-60,1770628843.03099,-60.083081736619675
0.7,-60,1770628843.12986,-60.08273809087671
0.7,-60,1770628843.23141,-60.082397272121185
0.7,-60,1770628843.33136,-60.0820592455951
0.7,-60,1770628843.43091,-60.08172397710792
0.7,-60,1770628843.53066,-60.081391433025075
0.7,-60,1770628843.63119,-60.081061580256666
0.7,-60,1770628843.73128,-60.08073438624651
0.7,-60,1770628843.83168,-60.08040981896142
0.7,-60,1770628843.93095,-60.08008784688073
0.7,-60,1770628844.03038,-60.0797684389861
0.7,-60,1770628844.13066,-60.079451564751544
0.7,-60,1770628844.2322,-60.0791371941337
0.7,-60,1770628844.3299,-60.07882529756233
0.7,-60,1770628844.43223,-60.078515845931044
0.7,-60,1770628844.5299,-60.07820881058823
0.7,-60,1770628844.63021,-60.07790416332823
0.7,-60,1770628844.73022,-60.07760187638267
0.7,-60,1770628844.83113,-60.07730192241205
0.7,-60,1770628844.93092,-60.07700427449744
0.7,-60,1770628845.03194,-60.0767089061325
0.7,-60,1770628845.13011,-60.07641579121556
0.7,-60,1770628845.23066,-60.07612490404191
0.7,-60,1770628845.3302,-60.07583621929633
0.7,-60,1770628845.43005,-60.0755497120457
0.7,-60,1770628845.53051,-60.075265357731844
0.7,-60,1770628845.63001,-60.0749831321645
0.7,-60,1770628845.72999,-60.07470301151444
0.7,-60,1770628845.83012,-60.07442497230679
0.7,-60,1770628845.93051,-60.07414899141445
0.7,-60,1770628846.02979,-60.07387504605166
0.7,-60,1770628846.13098,-60.07360311376778
0.7,-60,1770628846.2298,-60.07333317244109
0.7,-60,1770628846.33114,-60.073065200272815
